Doctor_name,Specialization,Experience,City_name,Area,Hospital_name,Consultation_fee,Recommendation
Dr. Srimathy Venkatesh,Dermatologist,36,Chennai,"Alwarpet,",Apollo Spectra Hospital,700,86% 
Dr. Aafrin Shabbir,Dermatologist,11,Chennai,"Perumbakkam,",Gleneagles Global Health City,500,100% 
Dr. Vinod Prem Anand,Dermatologist,22,Chennai,"Adyar,",Fortis Malar Hospital,700,100% 
Dr. A Joseph Navaseelan,Dermatologist,44,Chennai,"Vanagaram,",Apollo Speciality Hospital,1000,97% 
Dr. Govindaraj,Ear-Nose-Throat,30,Chennai,"Vanagaram,",Apollo Speciality Hospital,600,100% 
Dr. Prabha Karthik,Ear-Nose-Throat,19,Chennai,"Alwarpet,",Apollo Spectra Hospital,800,96% 
Dr. U. Sanjay,Ear-Nose-Throat,31,Chennai,"Anna Nagar,",Apollo Medical Center,750,91% 
Dr. Venkatakarthikeyan Chokkalingam,Ear-Nose-Throat,24,Chennai,"Greams Road,",Apollo Hospital,1000,61% 
Dr. A.Muraleedharan,Ear-Nose-Throat,36,Chennai,"Perumbakkam,",Gleneagles Global Health City,700,70% 
Dr. Babu Manohar,Ear-Nose-Throat,37,Chennai,"Greams Road,",Apollo Hospital,1500,97% 
Dr. Niraj Joshi,Ear-Nose-Throat,20,Chennai,"Mylapore,",ENT Head and Neck Care,800,86% 
Dr. Shankar.M.N,Ear-Nose-Throat,35,Chennai,"Adyar,",Fortis Malar Hospital,600,99% 
Dr. A. Sudha,Ear-Nose-Throat,22,Chennai,"Kilpauk,",The Head and Neck Centre & Hospital,500,86% 
Dr. Ramakrishnan,Ear-Nose-Throat,22,Chennai,"Adyar,",Fortis Malar Hospital,600,98% 
Dr. N. Saravanan,Homoeopath,17,Chennai,"Tambaram,",Priyam Clinic,300,100% 
Dr. R. Vijayashanthini,Homoeopath,15,Chennai,"Rajakilpakkam,",Sushaanth Homoeo Clinic,400,75% 
Dr. L Mathuvenkatesan,Homoeopath,23,Chennai,"Ashok Nagar,",Dr Batra's Positive Health Clinic Pvt Ltd,450,99% 
Dr. Prof. G Nirmal (PhD),Homoeopath,20,Chennai,"Ayanavaram,",Niveena Homoeo Clinic,1500,100% 
Dr. Meena,Homoeopath,2,Chennai,"Vadapalani,",Dr. Meena's Homeo Clinic,400,100% 
Dr. Berlin  Nadhiya,Homoeopath,10,Chennai,"Porur,",Dr Batra's Positive Health Clinic Pvt Ltd,450,100% 
Dr. Nidhi Dube,Homoeopath,13,Chennai,"Velachery,",Dr Batra's Positive Health Clinic Pvt Ltd,450,88% 
Dr. Saradha Kumari,Homoeopath,40,Chennai,"Kodambakkam,",Dr. Sharadha Kumari Homeopathy,500,100% 
Dr. Ashok Kumar,Homoeopath,13,Chennai,"Tambaram East,",Shanthi Homoeo Clinic,800,95% 
Dr. M Nithya,Homoeopath,16,Chennai,"Alwarpet,",Dr Batra's Positive Health Clinic Pvt Ltd,450,97% 
Dr. Rajesh Verma,Ayurveda,27,Chennai,"Vadapalani,",Bliss Medicare Centre,600,96% 
Dr. D Jayashree,Ayurveda,38,Chennai,"West Mambalam,",Shree Ayurvedic Multispeciality Hospital,750,100% 
Dr. Poonam Verma,Ayurveda,26,Chennai,"Vadapalani,",Bliss Medicare Centre,600,98% 
Dr. Raniya Sulthana,Ayurveda,14,Chennai,"Mogappair West,",Arya Vaidya Sala Kottakkal,750,98% 
Dr. T. Vamsi Latha,Ayurveda,20,Chennai,"West Mambalam,",Shree Ayurvedic Multispeciality Hospital,500,100% 
Dr. D Srikrishna,Ayurveda,11,Chennai,"West Mambalam,",Shree Ayurvedic Multispeciality Hospital,500,100% 
Dr. Uday Kiran,Ayurveda,24,Chennai,"West Mambalam,",Shree Ayurvedic Multispeciality Hospital,750,100% 
Dr. M Vishnupriya,Ayurveda,14,Chennai,"Selaiyur,",Aditti Ayurveda And Panchakarma Clinic,300,95% 
Dr. Shamna. R,Ayurveda,14,Chennai,"Ekkaduthangal,",Kotakkal Arya Vaidya Sala,300,95% 
Dr. Rekha,Ayurveda,14,Chennai,"Madambakkam,",Ayurmithra Ayurveda Clinic,200,97% 
